train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
0.03522276,0.028953975,0.035790935,-0.068592615,0.17832325,63.547187797902765,50.33006324416912,45.0,13,456,0.00021118421052631578,6.616640894208103e-05,-0.04374299198389053,20.958904266357422,0.01098172552883625,0.013564047403633595,0.1517730712890625,0.11705398559570312,1255,2401.7035653591156,3014656,3014656,94208
0.036410388,0.027188634,0.036332466,-0.07140029,0.121405505,66.3810975609756,50.2834454527555,50.0,13,394,0.00020921052631578946,6.452255183830857e-05,-0.04441836476325989,20.90847396850586,0.012889901176095009,0.015267016366124153,0.151751708984375,0.1215282678604126,1257,2449.340111017227,3080192,3080192,96256
0.035017733,0.028211389,0.034890942,-0.09845824,0.14157136,67.23930753564154,55.14730101552079,49.0,13,504,0.00020723684210526315,6.181549542816356e-05,-0.04402286931872368,20.860610961914062,0.01489099208265543,0.01451055146753788,0.1518890380859375,0.12496078014373779,1257,2500.9927892684937,3145728,3145728,98304
0.0365208,0.027252994,0.035271253,-0.04517518,0.12830499,63.37416904083571,48.6161445735714,46.0,13,395,0.00020526315789473683,5.9851146943401545e-05,-0.037240706384181976,20.80748748779297,0.013552403077483177,0.013301367871463299,0.1488372802734375,0.12163686752319336,1259,2550.5621461868286,3211264,3211264,100352
0.038312986,0.028364526,0.037874203,-0.05811004,0.13083695,67.80581516095535,51.46855483190727,52.0,14,432,0.00020328947368421048,6.465164915425703e-05,-0.05016494542360306,20.760066986083984,0.01337442360818386,0.014795754104852676,0.14974212646484375,0.12328529357910156,1259,2600.836182117462,3276800,3276800,102400
0.03783258,0.029610978,0.036435828,-0.100214235,0.14136644,72.09902067464635,57.11435933779257,52.0,9,511,0.0002013157894736842,5.957425310043618e-05,-0.04630662500858307,20.70995330810547,0.01247846707701683,0.015134372748434544,0.15471649169921875,0.11885964870452881,1258,2655.4232428073883,3342336,3342336,104448
0.03886411,0.029843824,0.03898128,-0.06776246,0.14794865,72.47362637362637,54.461690003691636,54.0,11,367,0.0001993421052631579,6.464351463364437e-05,-0.04533997178077698,20.658611297607422,0.012512785382568836,0.014154166914522648,0.147509765625,0.11268043518066406,1260,2703.3668394088745,3407872,3407872,106496
0.040812455,0.028766109,0.03992765,-0.094029665,0.14215657,71.77292576419214,54.93776519188174,55.0,12,520,0.00019736842105263157,6.39234422123991e-05,-0.045842062681913376,20.621749877929688,0.00965146254748106,0.013730027712881565,0.14925994873046874,0.13018149137496948,1263,2749.8470425605774,3473408,3473408,108544
0.04180165,0.031274434,0.041424204,-0.08522344,0.2151208,73.04299889746417,57.339040068998166,55.0,16,472,0.00019539473684210528,6.610499258385971e-05,-0.03948420286178589,20.56656837463379,0.010316001251339912,0.01440050546079874,0.1509521484375,0.12299513816833496,1263,2800.104743003845,3538944,3538944,110592
0.038929045,0.02941112,0.039118566,-0.10326205,0.16865157,74.51470588235294,60.18505407460617,54.5,13,493,0.00019342105263157894,6.74476323183626e-05,-0.04866914078593254,20.52553367614746,0.015135066583752632,0.01564338058233261,0.1510040283203125,0.13902097940444946,1266,2845.9640820026398,3604480,3604480,112640
0.041239794,0.029489996,0.041328013,-0.11519919,0.19239518,75.93478260869566,56.72016985948357,58.0,14,443,0.0001914473684210526,6.45289255771786e-05,-0.04889882355928421,20.471942901611328,0.00929324235767126,0.014208345673978329,0.150775146484375,0.13422071933746338,1268,2892.362610578537,3670016,3670016,114688
0.043245163,0.029511446,0.043365188,-0.11775945,0.15267643,73.38556933483653,58.538149282381745,55.0,12,460,0.0001894736842105263,6.783480785088614e-05,-0.04807569831609726,20.429473876953125,0.011285137385129929,0.013850890100002289,0.14608306884765626,0.14406168460845947,1271,2938.549028158188,3735552,3735552,116736
0.04285081,0.030401528,0.042133186,-0.10707662,0.14978184,78.95351609058403,67.85953721017015,58.0,14,715,0.00018749999999999998,6.305152783170342e-05,-0.041960395872592926,20.379486083984375,0.014014821499586105,0.014240708202123642,0.142767333984375,0.1443401575088501,1272,2986.9200143814087,3801088,3801088,118784
0.043327387,0.029233629,0.042888124,-0.10209767,0.18213536,80.35653235653236,68.8104037459273,61.0,15,701,0.00018552631578947368,6.844008748885244e-05,-0.04570740833878517,20.3470401763916,0.021696679294109344,0.015385139733552933,0.1460784912109375,0.14188367128372192,1274,3033.9642288684845,3866624,3866624,120832
0.043112397,0.030210912,0.045015946,-0.11543037,0.14468643,81.79038224414303,72.60900105704852,57.0,14,806,0.00018355263157894736,6.494305853266269e-05,-0.0426778569817543,20.298175811767578,0.010497841984033585,0.014664484187960625,0.14962921142578126,0.14396995306015015,1276,3080.3542597293854,3932160,3932160,122880
0.04444619,0.030293472,0.044372734,-0.0694676,0.1745265,87.26162018592298,76.31076344327394,63.0,15,684,0.00018157894736842105,6.78289943607524e-05,-0.05067223682999611,20.261531829833984,0.019682982936501503,0.014695890247821808,0.1485748291015625,0.1408236026763916,1278,3125.7549691200256,3997696,3997696,124928
0.043386735,0.029248746,0.043465998,-0.05732307,0.1544325,87.65456989247312,69.5808903485485,64.5,12,513,0.0001796052631578947,6.58729113638401e-05,-0.04400085657835007,20.223957061767578,0.01569732092320919,0.013764400035142899,0.14632720947265626,0.1501513123512268,1274,3188.404607772827,4063232,4063232,126976
0.042438433,0.030815264,0.042601377,-0.106617466,0.16103597,89.0013458950202,76.98396993349681,65.0,12,642,0.00017763157894736838,6.426709296647459e-05,-0.04724140465259552,20.180526733398438,0.015073345974087715,0.015052774921059608,0.14335784912109376,0.1475638747215271,1276,3233.917250394821,4128768,4128768,129024
0.041431196,0.031536743,0.040806428,-0.08436845,0.20346397,94.1159420289855,86.81490158467071,66.0,13,718,0.0001756578947368421,6.0538055549841374e-05,-0.046442076563835144,20.14856719970703,0.012555725872516632,0.013580644503235817,0.14632415771484375,0.1499100923538208,1278,3280.557527780533,4194304,4194304,131072
0.043779332,0.034449674,0.04325731,-0.14301534,0.23278911,95.20056899004267,88.28707152382944,69.0,15,720,0.0001736842105263158,6.296519859461114e-05,-0.04208093881607056,20.10895538330078,0.017803851515054703,0.014240838587284088,0.14580230712890624,0.14347058534622192,1280,3325.954701900482,4259840,4259840,133120
0.04296095,0.02974822,0.042239375,-0.09183157,0.16395435,92.31843575418995,78.13082958494263,67.0,11,612,0.00017171052631578947,6.0047626902814955e-05,-0.04193779081106186,20.052955627441406,0.014863021671772003,0.01533551886677742,0.14391632080078126,0.1498538851737976,1282,3371.3271849155426,4325376,4325376,135168
0.046321362,0.029779462,0.045872573,-0.07734614,0.13536283,92.31497175141243,74.96875772349254,67.0,13,552,0.00016973684210526313,6.244600808713585e-05,-0.0442064069211483,20.00176239013672,0.0094780083745718,0.014278325252234936,0.14438934326171876,0.15390437841415405,1284,3419.3396418094635,4390912,4390912,137216
0.04285592,0.03358486,0.043483585,-0.24861339,0.1551393,97.78613569321534,87.09348035906783,70.0,16,934,0.00016776315789473684,6.283535913098603e-05,-0.05034122243523598,19.960060119628906,0.009559238329529762,0.01521715335547924,0.14680633544921876,0.16123759746551514,1286,3465.199092388153,4456448,4456448,139264
0.045701355,0.033531718,0.045107126,-0.1257165,0.195901,99.7579908675799,81.16106204148385,74.0,15,615,0.0001657894736842105,6.173989095259458e-05,-0.04070387780666351,19.89772605895996,0.012922990135848522,0.014128920622169971,0.1463897705078125,0.15177065134048462,1287,3512.0719192028046,4521984,4521984,141312
0.04428629,0.03423831,0.045336135,-0.14493738,0.1925118,99.30151515151515,93.7716035592223,65.5,14,717,0.0001638157894736842,6.418165867216885e-05,-0.0407266765832901,19.846487045288086,0.01822584494948387,0.014668123796582222,0.14039154052734376,0.15743762254714966,1288,3559.059207201004,4587520,4587520,143360
0.04413911,0.03440141,0.043834567,-0.1281995,0.19785674,102.88854489164086,93.00161434758685,74.0,15,867,0.00016184210526315788,6.174678856041282e-05,-0.04398278146982193,19.791744232177734,0.009850600734353065,0.014469624496996403,0.1459625244140625,0.15544503927230835,1291,3603.6395292282104,4653056,4653056,145408
0.045155402,0.031529494,0.04610462,-0.11265339,0.16002618,105.31028938906752,97.1592579499375,72.0,16,671,0.00015986842105263158,5.8555262512527406e-05,-0.04365365952253342,19.743494033813477,0.015383284538984299,0.012869688682258129,0.14078216552734374,0.17077404260635376,1290,3656.058518409729,4718592,4718592,147456
0.044402238,0.0313508,0.04538879,-0.08656191,0.16533914,103.76589147286822,85.3610812106172,74.0,15,520,0.00015789473684210527,6.115118594607338e-05,-0.04637361317873001,19.693992614746094,0.011212218552827835,0.013982834294438362,0.13887786865234375,0.16285789012908936,1292,3702.2074971199036,4784128,4784128,149504
0.04484535,0.034752455,0.045195483,-0.08095499,0.21245585,105.89386401326699,94.78645990114723,78.0,13,784,0.00015592105263157895,6.148198735900223e-05,-0.04339999705553055,19.659652709960938,0.016990507021546364,0.013573603704571724,0.14094696044921876,0.16491389274597168,1294,3746.1720497608185,4849664,4849664,151552
0.044456918,0.03137156,0.043328423,-0.10731296,0.15020561,108.0016155088853,92.9037666189823,82.0,13,648,0.0001539473684210526,5.915841757087037e-05,-0.04423951357603073,19.62247085571289,0.012907298281788826,0.013710914179682732,0.13853912353515624,0.16348177194595337,1295,3793.4226603507996,4915200,4915200,153600
0.048949298,0.032208472,0.049578615,-0.055288445,0.158434,102.23274478330659,91.51829060498835,72.0,14,518,0.00015197368421052628,6.352768104989082e-05,-0.04561483860015869,19.57021141052246,0.010004283860325813,0.01405131071805954,0.13765869140625,0.1593608260154724,1297,3838.9192814826965,4980736,4980736,155648
0.046788428,0.03199619,0.045892604,-0.10656955,0.16269174,98.91323529411764,90.83346008980288,69.0,14,1000,0.00015,6.158319592941552e-05,-0.041248515248298645,19.515727996826172,0.017251724377274513,0.01386466808617115,0.14076385498046876,0.16221070289611816,1299,3883.6110978126526,5046272,5046272,157696
0.04626571,0.032899812,0.04770516,-0.11098154,0.17833687,102.03348554033485,90.75550696582671,72.0,11,675,0.0001480263157894737,6.593854050152004e-05,-0.0444287434220314,19.46674346923828,0.013563761487603188,0.01478600688278675,0.13989105224609374,0.16776436567306519,1299,3933.8212747573853,5111808,5111808,159744
0.045126535,0.031545825,0.044358656,-0.091367155,0.19705307,103.31661442006269,87.6527421338595,73.0,12,588,0.00014605263157894735,6.0202324675628915e-05,-0.04387632757425308,19.425539016723633,0.013350243680179119,0.013159855268895626,0.13994293212890624,0.16888463497161865,1301,3979.2751467227936,5177344,5177344,161792
0.046558667,0.03136735,0.04700353,-0.06925292,0.20051533,102.10691823899371,85.49264128066378,73.0,14,702,0.00014407894736842103,5.84548688493669e-05,-0.046064987778663635,19.375446319580078,0.013902971521019936,0.013935890980064869,0.1380462646484375,0.17359811067581177,1301,4028.5330381393433,5242880,5242880,163840
0.048412416,0.033405673,0.051071025,-0.072659135,0.21087563,105.5888,91.07973931978506,76.0,14,703,0.00014210526315789474,5.727895040763542e-05,-0.04346548393368721,19.335063934326172,0.0119230467826128,0.013932890258729458,0.13765411376953124,0.16028553247451782,1303,4072.9999940395355,5308416,5308416,165888
0.05056644,0.032015666,0.04993034,-0.080252014,0.156222,110.21594684385381,97.63936225371809,81.0,16,868,0.0001401315789473684,5.870642053196207e-05,-0.04551910609006882,19.302255630493164,0.014943409711122513,0.013962976634502411,0.13474578857421876,0.16338211297988892,1304,4120.514732122421,5373952,5373952,167936
0.04844756,0.03240645,0.04705452,-0.093376204,0.16660726,107.37037037037037,104.50557408263418,75.0,17,932,0.0001381578947368421,5.819147918373346e-05,-0.04375119507312775,19.270423889160156,0.016894865781068802,0.013330255635082722,0.13424530029296874,0.1634441614151001,1305,4165.199718236923,5439488,5439488,169984
0.051440142,0.032689877,0.049189787,-0.09349683,0.21343711,109.63175122749591,96.22501711202653,75.0,13,731,0.00013618421052631578,5.919673276366666e-05,-0.04537006467580795,19.227672576904297,0.017126938328146935,0.012606631964445114,0.1324066162109375,0.17199009656906128,1307,4210.922689437866,5505024,5505024,172032
0.049479607,0.03523698,0.04982433,-0.12288184,0.1847149,112.13735343383584,110.779987315605,81.0,14,1000,0.00013421052631578946,6.004767055856064e-05,-0.04065714031457901,19.176658630371094,0.01572643592953682,0.01349603570997715,0.1312713623046875,0.16538751125335693,1308,4256.091735363007,5570560,5570560,174080
0.051423684,0.03145068,0.05154377,-0.10312889,0.19598168,102.75516693163752,96.89566525640286,70.0,14,715,0.00013223684210526314,6.628666596952826e-05,-0.04568535089492798,19.124208450317383,0.014346413314342499,0.013115191832184792,0.132611083984375,0.16428619623184204,1310,4300.83865737915,5636096,5636096,176128
0.05022341,0.031620637,0.051430725,-0.053625956,0.16172811,108.25205930807249,97.43677403311344,76.0,14,738,0.00013026315789473685,6.315240170806646e-05,-0.04137659817934036,19.080245971679688,0.01311158575117588,0.014034297317266464,0.13142242431640624,0.16684269905090332,1312,4345.713004350662,5701632,5701632,178176
